,Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,CallDuration,CallHourStart,CallMinStart
2861,2862,42,technician,married,secondary,0,-556,1,0,cellular,19,nov,1,-1,0,,2021-12-04 15:52:29,2021-12-04 15:54:10,0,101.0,15,52
2431,2432,52,services,married,secondary,0,431,0,0,cellular,26,aug,17,-1,0,,2021-12-04 12:31:09,2021-12-04 12:32:22,0,73.0,12,31
3983,3984,37,management,single,secondary,0,0,1,1,cellular,2,apr,2,-1,0,,2021-12-04 15:41:53,2021-12-04 15:49:23,0,450.0,15,41
1494,1495,35,blue-collar,married,primary,0,414,0,0,,13,may,4,-1,0,,2021-12-04 11:11:09,2021-12-04 11:19:33,1,504.00000000000006,11,11
160,161,63,blue-collar,married,secondary,0,641,0,0,cellular,27,may,2,-1,0,,2021-12-04 17:50:43,2021-12-04 17:57:40,1,417.0,17,50
1861,1862,42,blue-collar,married,secondary,0,165,1,0,,23,may,2,-1,0,,2021-12-04 14:11:31,2021-12-04 14:17:04,0,333.0,14,11
1707,1708,77,management,married,,0,1780,1,0,cellular,23,apr,2,182,5,success,2021-12-04 12:10:38,2021-12-04 12:16:39,1,361.0,12,10
2628,2629,36,unemployed,married,primary,0,2347,1,0,cellular,21,nov,3,-1,0,,2021-12-04 14:54:01,2021-12-04 14:54:06,0,5.0,14,54
100,101,36,management,married,tertiary,0,753,0,0,cellular,16,apr,4,-1,0,,2021-12-04 14:01:15,2021-12-04 14:02:31,0,76.0,14,1
3604,3605,48,management,married,tertiary,0,2351,0,0,cellular,15,sep,1,105,3,success,2021-12-04 16:38:41,2021-12-04 16:41:11,1,150.0,16,38
1143,1144,38,services,married,primary,0,175,0,0,,17,jun,2,-1,0,,2021-12-04 12:45:32,2021-12-04 12:47:44,0,132.0,12,45
122,123,64,entrepreneur,married,tertiary,0,2331,0,0,telephone,9,nov,1,-1,0,,2021-12-04 13:54:34,2021-12-04 13:57:55,1,201.0,13,54
3504,3505,25,entrepreneur,single,tertiary,0,347,0,0,cellular,20,aug,1,-1,0,,2021-12-04 12:25:07,2021-12-04 12:29:34,1,267.0,12,25
1897,1898,42,admin.,married,secondary,0,0,1,0,cellular,8,jul,1,-1,0,,2021-12-04 09:40:54,2021-12-04 09:57:45,0,1011.0000000000001,9,40
372,373,32,services,single,secondary,0,1168,1,0,cellular,16,nov,1,-1,0,,2021-12-04 17:41:04,2021-12-04 17:47:55,1,411.0,17,41
3281,3282,31,management,married,secondary,0,0,0,0,cellular,11,aug,1,-1,0,,2021-12-04 10:29:49,2021-12-04 10:41:49,1,720.0,10,29
801,802,47,management,married,tertiary,0,0,0,1,cellular,21,aug,1,-1,0,,2021-12-04 10:56:31,2021-12-04 11:02:45,1,374.0,10,56
2990,2991,58,management,married,tertiary,0,1271,1,0,cellular,28,jan,1,-1,0,,2021-12-04 14:04:40,2021-12-04 14:07:06,0,146.0,14,4
358,359,32,management,married,secondary,0,625,1,0,cellular,2,jun,1,56,2,failure,2021-12-04 15:53:38,2021-12-04 15:59:30,0,352.0,15,53
197,198,36,self-employed,divorced,tertiary,0,6385,1,0,cellular,21,nov,2,-1,0,,2021-12-04 13:21:55,2021-12-04 13:23:05,0,70.0,13,21
406,407,31,management,single,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,,2021-12-04 14:21:22,2021-12-04 14:25:25,0,243.00000000000003,14,21
2622,2623,47,technician,divorced,secondary,0,165,0,0,,18,jun,3,-1,0,,2021-12-04 10:10:34,2021-12-04 10:12:13,0,99.0,10,10
364,365,57,management,married,primary,0,1052,1,0,,13,may,4,-1,0,,2021-12-04 17:32:21,2021-12-04 17:36:08,0,227.0,17,32
1966,1967,28,blue-collar,married,secondary,0,86,1,1,,15,may,1,-1,0,,2021-12-04 17:00:59,2021-12-04 17:16:17,0,918.0000000000001,17,0
1626,1627,33,blue-collar,married,primary,1,2,1,1,cellular,9,jul,1,-1,0,,2021-12-04 13:05:32,2021-12-04 13:09:19,0,227.0,13,5
517,518,56,blue-collar,married,primary,0,2163,0,0,telephone,31,jul,3,-1,0,,2021-12-04 10:18:54,2021-12-04 10:19:25,0,31.000000000000004,10,18
522,523,27,blue-collar,single,secondary,0,535,0,0,cellular,15,feb,1,91,2,success,2021-12-04 13:21:03,2021-12-04 13:23:54,1,171.0,13,21
1939,1940,42,management,single,tertiary,0,196,1,0,,12,may,3,-1,0,,2021-12-04 09:31:31,2021-12-04 09:36:56,0,325.0,9,31
2103,2104,51,technician,married,tertiary,0,0,0,0,cellular,7,may,2,66,2,success,2021-12-04 16:08:56,2021-12-04 16:19:58,1,662.0,16,8
794,795,52,management,single,tertiary,0,83,0,0,cellular,26,aug,6,-1,0,,2021-12-04 10:22:33,2021-12-04 10:42:56,1,1223.0,10,22
1588,1589,43,technician,married,secondary,0,136,0,0,cellular,25,aug,7,-1,0,,2021-12-04 16:56:35,2021-12-04 17:02:38,1,363.0,16,56
865,866,42,technician,divorced,secondary,0,19,0,0,cellular,20,aug,4,-1,0,,2021-12-04 11:14:03,2021-12-04 11:28:38,1,875.0,11,14
337,338,29,technician,single,secondary,0,110,1,0,cellular,13,apr,1,-1,0,,2021-12-04 12:24:58,2021-12-04 12:42:14,1,1036.0,12,24
1322,1323,33,management,single,tertiary,0,3770,0,0,cellular,28,jan,2,-1,0,,2021-12-04 12:31:36,2021-12-04 12:44:13,0,757.0,12,31
2898,2899,57,entrepreneur,married,tertiary,0,7699,0,1,cellular,16,jul,1,-1,0,,2021-12-04 13:48:16,2021-12-04 13:51:14,0,178.0,13,48
2579,2580,58,retired,married,primary,0,565,0,0,telephone,8,oct,1,93,1,success,2021-12-04 15:27:52,2021-12-04 15:30:25,1,153.0,15,27
2846,2847,33,management,single,tertiary,0,224,0,0,cellular,23,sep,2,92,4,success,2021-12-04 15:15:01,2021-12-04 15:21:50,1,409.0,15,15
2503,2504,45,management,married,tertiary,0,1034,0,1,cellular,24,jul,4,-1,0,,2021-12-04 10:14:35,2021-12-04 10:44:55,0,1820.0,10,14
2662,2663,32,management,married,tertiary,0,1501,1,0,,23,may,6,-1,0,,2021-12-04 13:57:47,2021-12-04 13:58:57,0,70.0,13,57
3443,3444,48,technician,married,secondary,1,295,0,1,cellular,17,nov,2,-1,0,,2021-12-04 17:07:38,2021-12-04 17:10:48,0,190.0,17,7
3904,3905,59,management,single,tertiary,0,684,0,0,cellular,13,aug,13,-1,0,,2021-12-04 14:06:55,2021-12-04 14:07:43,0,48.0,14,6
3028,3029,28,student,single,secondary,0,949,1,0,,28,may,1,-1,0,,2021-12-04 10:41:33,2021-12-04 11:10:23,1,1730.0,10,41
2115,2116,37,management,married,tertiary,0,0,1,0,cellular,6,may,2,169,3,failure,2021-12-04 16:46:09,2021-12-04 16:47:33,0,84.0,16,46
2176,2177,49,technician,married,secondary,0,133,0,0,cellular,31,jul,5,-1,0,,2021-12-04 13:33:22,2021-12-04 13:34:43,0,81.0,13,33
3270,3271,31,management,single,tertiary,0,147,0,0,cellular,9,mar,1,181,2,success,2021-12-04 10:56:40,2021-12-04 11:04:29,1,469.00000000000006,10,56
1431,1432,37,management,divorced,tertiary,0,1775,0,0,cellular,15,jul,5,-1,0,,2021-12-04 10:18:05,2021-12-04 10:26:39,1,514.0,10,18
389,390,36,services,married,secondary,0,4721,0,0,cellular,9,dec,3,-1,0,,2021-12-04 16:50:56,2021-12-04 16:53:25,1,149.0,16,50
1741,1742,30,management,married,tertiary,0,86,1,1,cellular,19,nov,1,97,2,other,2021-12-04 09:13:51,2021-12-04 09:16:26,0,155.0,9,13
2338,2339,48,services,married,secondary,0,0,1,0,cellular,2,apr,1,267,1,failure,2021-12-04 11:49:31,2021-12-04 11:51:57,0,146.0,11,49
3960,3961,34,admin.,divorced,secondary,0,-251,0,0,cellular,18,jul,1,-1,0,,2021-12-04 17:07:53,2021-12-04 17:18:34,1,641.0,17,7
771,772,35,blue-collar,married,primary,0,1116,1,0,,12,jun,1,-1,0,,2021-12-04 15:54:43,2021-12-04 15:56:47,0,124.00000000000001,15,54
3496,3497,31,management,single,tertiary,0,37,0,0,cellular,8,aug,2,-1,0,,2021-12-04 09:36:45,2021-12-04 09:47:54,1,669.0,9,36
1246,1247,45,management,single,tertiary,0,4831,0,0,cellular,29,jan,11,-1,0,,2021-12-04 09:46:03,2021-12-04 09:54:02,1,479.00000000000006,9,46
3707,3708,39,student,single,tertiary,0,2103,0,0,cellular,2,feb,1,-1,0,,2021-12-04 10:05:23,2021-12-04 10:15:11,1,588.0,10,5
2344,2345,63,retired,single,tertiary,0,791,0,0,cellular,21,oct,2,-1,0,,2021-12-04 12:15:22,2021-12-04 12:18:54,1,212.0,12,15
3755,3756,57,retired,single,tertiary,0,2528,1,1,,30,may,1,-1,0,,2021-12-04 09:09:26,2021-12-04 09:21:30,0,724.0,9,9
598,599,38,technician,married,secondary,0,37,0,0,cellular,17,jul,1,-1,0,,2021-12-04 10:34:01,2021-12-04 10:35:37,0,96.0,10,34
2932,2933,44,management,married,tertiary,0,1954,0,0,cellular,2,jun,1,-1,0,,2021-12-04 13:54:34,2021-12-04 13:59:28,1,294.0,13,54
1746,1747,38,entrepreneur,married,tertiary,0,170,1,0,cellular,18,may,1,-1,0,,2021-12-04 14:52:17,2021-12-04 14:59:39,1,442.0,14,52
1085,1086,42,management,divorced,tertiary,0,5037,0,0,cellular,16,jul,6,84,14,success,2021-12-04 16:43:39,2021-12-04 16:45:19,0,100.0,16,43
2691,2692,38,management,single,secondary,0,53,0,0,,9,jun,1,-1,0,,2021-12-04 17:46:20,2021-12-04 17:51:00,0,280.0,17,46
2316,2317,70,retired,married,secondary,0,2626,0,0,cellular,2,sep,2,-1,0,,2021-12-04 10:53:38,2021-12-04 10:55:58,1,140.0,10,53
1069,1070,34,management,single,tertiary,0,7263,1,0,telephone,6,apr,1,-1,0,,2021-12-04 16:46:12,2021-12-04 16:47:38,0,86.0,16,46
3632,3633,30,management,married,tertiary,0,102,1,0,cellular,5,apr,7,426,3,other,2021-12-04 16:50:32,2021-12-04 16:58:22,1,470.00000000000006,16,50
778,779,49,services,married,secondary,0,202,1,0,cellular,17,nov,2,104,1,failure,2021-12-04 14:26:21,2021-12-04 14:37:12,1,651.0,14,26
1018,1019,38,blue-collar,married,primary,0,5839,1,0,,4,jun,2,-1,0,,2021-12-04 17:50:45,2021-12-04 18:07:09,1,984.0000000000001,17,50
1519,1520,31,blue-collar,married,primary,0,2198,0,0,,2,jun,2,-1,0,,2021-12-04 14:00:56,2021-12-04 14:09:48,0,532.0,14,0
2369,2370,56,management,married,tertiary,0,505,1,1,cellular,5,may,1,169,3,failure,2021-12-04 15:18:17,2021-12-04 15:21:58,0,221.0,15,18
2490,2491,40,services,single,secondary,0,65,1,0,cellular,15,may,3,-1,0,,2021-12-04 09:23:52,2021-12-04 09:24:07,0,15.000000000000002,9,23
759,760,34,management,single,tertiary,0,13014,0,0,cellular,13,aug,1,-1,0,,2021-12-04 13:56:59,2021-12-04 14:09:17,1,738.0,13,56
2687,2688,28,blue-collar,single,secondary,0,-127,1,0,cellular,4,jul,3,-1,0,,2021-12-04 12:20:20,2021-12-04 12:37:44,1,1044.0,12,20
1350,1351,52,admin.,married,secondary,0,-732,1,1,,28,may,2,-1,0,,2021-12-04 17:54:58,2021-12-04 17:55:59,0,61.00000000000001,17,54
465,466,32,management,single,tertiary,0,0,0,0,cellular,5,feb,4,-1,0,,2021-12-04 12:53:51,2021-12-04 13:03:01,1,550.0,12,53
1452,1453,50,technician,married,secondary,0,0,0,0,cellular,7,jul,2,-1,0,,2021-12-04 11:07:25,2021-12-04 11:09:57,0,152.0,11,7
2942,2943,36,technician,married,tertiary,0,376,0,0,cellular,16,sep,1,-1,0,,2021-12-04 11:10:52,2021-12-04 11:13:45,1,173.0,11,10
1840,1841,47,technician,married,secondary,0,232,1,0,cellular,5,may,2,285,1,failure,2021-12-04 16:58:22,2021-12-04 17:01:08,0,166.0,16,58
1534,1535,40,services,married,secondary,0,1836,1,0,cellular,12,may,2,-1,0,,2021-12-04 09:18:00,2021-12-04 09:30:30,1,750.0,9,18
3162,3163,31,services,married,secondary,1,29,0,0,cellular,21,nov,3,-1,0,,2021-12-04 14:22:02,2021-12-04 14:26:02,0,240.00000000000003,14,22
2782,2783,38,management,single,tertiary,0,0,0,0,cellular,29,aug,2,-1,0,,2021-12-04 17:34:16,2021-12-04 17:35:51,0,95.0,17,34
1113,1114,40,housemaid,married,tertiary,0,0,0,0,,6,oct,1,-1,0,,2021-12-04 11:17:45,2021-12-04 11:17:51,0,6.0,11,17
3045,3046,39,blue-collar,married,primary,0,7304,1,0,,28,may,1,-1,0,,2021-12-04 12:02:39,2021-12-04 12:06:15,0,216.0,12,2
2881,2882,30,management,single,tertiary,0,12857,1,0,cellular,6,nov,1,-1,0,,2021-12-04 14:25:57,2021-12-04 14:28:27,1,150.0,14,25
108,109,52,management,married,tertiary,0,388,0,0,cellular,25,may,1,-1,0,,2021-12-04 10:43:50,2021-12-04 10:48:22,1,272.0,10,43
27,28,45,,divorced,,0,0,0,0,cellular,21,apr,3,-1,0,,2021-12-04 12:33:22,2021-12-04 12:38:00,1,278.0,12,33
2717,2718,41,housemaid,single,secondary,0,2184,0,0,,19,jun,2,-1,0,,2021-12-04 12:09:33,2021-12-04 12:11:04,0,91.0,12,9
2098,2099,44,unemployed,married,tertiary,0,17747,1,0,cellular,5,feb,7,-1,0,,2021-12-04 12:21:49,2021-12-04 12:21:57,0,8.0,12,21
2301,2302,56,retired,married,primary,0,9367,0,0,cellular,13,aug,2,101,2,success,2021-12-04 11:01:59,2021-12-04 11:07:19,1,320.0,11,1
1311,1312,28,services,single,tertiary,0,441,0,0,cellular,8,nov,1,-1,0,,2021-12-04 09:05:04,2021-12-04 09:06:50,0,106.0,9,5
2550,2551,34,technician,married,tertiary,0,5060,1,0,cellular,21,aug,21,-1,0,,2021-12-04 13:13:30,2021-12-04 13:13:42,0,12.0,13,13
526,527,34,admin.,married,primary,0,412,1,0,cellular,13,may,1,287,2,failure,2021-12-04 12:53:08,2021-12-04 12:56:45,0,217.0,12,53
59,60,52,unemployed,married,secondary,0,5091,0,0,cellular,26,may,1,-1,0,,2021-12-04 12:25:24,2021-12-04 12:30:33,0,309.0,12,25
1613,1614,49,management,divorced,tertiary,0,1115,0,0,,19,jun,9,-1,0,,2021-12-04 10:32:15,2021-12-04 10:34:33,0,138.0,10,32
3424,3425,32,services,single,secondary,0,152,1,0,cellular,25,may,2,-1,0,,2021-12-04 13:46:57,2021-12-04 13:49:35,1,158.0,13,46
2225,2226,53,blue-collar,married,primary,0,1794,1,0,cellular,17,apr,1,-1,0,,2021-12-04 17:16:56,2021-12-04 17:26:13,0,557.0,17,16
1153,1154,51,admin.,married,secondary,0,684,1,0,cellular,20,nov,1,-1,0,,2021-12-04 13:38:44,2021-12-04 13:39:52,0,68.0,13,38
1998,1999,55,technician,single,secondary,0,11,0,0,,20,jun,2,-1,0,,2021-12-04 09:30:06,2021-12-04 09:30:20,0,14.0,9,30
2770,2771,33,services,married,secondary,0,288,1,0,cellular,17,apr,1,-1,0,,2021-12-04 13:48:32,2021-12-04 13:53:38,0,306.0,13,48
831,832,43,blue-collar,married,secondary,0,95,1,0,cellular,18,may,1,-1,0,,2021-12-04 16:40:29,2021-12-04 16:45:25,0,296.0,16,40
989,990,29,student,single,tertiary,0,0,0,0,,26,may,3,-1,0,,2021-12-04 11:31:26,2021-12-04 11:32:18,0,52.0,11,31
2474,2475,29,technician,single,tertiary,0,262,1,1,cellular,29,jul,9,-1,0,,2021-12-04 09:07:02,2021-12-04 09:15:32,0,510.00000000000006,9,7
977,978,31,services,divorced,primary,0,459,1,0,cellular,7,may,1,293,1,success,2021-12-04 13:37:08,2021-12-04 13:47:31,1,623.0,13,37
1529,1530,39,technician,married,secondary,0,4101,1,0,cellular,18,feb,2,264,1,other,2021-12-04 15:19:20,2021-12-04 15:21:46,1,146.0,15,19
2704,2705,34,management,single,secondary,0,524,0,0,,13,aug,1,-1,0,,2021-12-04 13:35:55,2021-12-04 13:36:04,0,9.0,13,35
2805,2806,54,blue-collar,married,primary,0,714,0,0,cellular,5,may,1,-1,0,,2021-12-04 17:05:33,2021-12-04 17:09:18,0,225.0,17,5
1941,1942,46,management,married,tertiary,0,273,1,0,cellular,10,may,6,53,6,success,2021-12-04 12:50:47,2021-12-04 13:00:30,1,583.0,12,50
1442,1443,58,retired,divorced,secondary,0,1080,1,0,cellular,29,jul,2,-1,0,,2021-12-04 17:09:05,2021-12-04 17:26:43,1,1058.0,17,9
1729,1730,32,management,single,tertiary,0,9317,0,0,cellular,2,nov,3,-1,0,,2021-12-04 14:53:07,2021-12-04 14:54:39,0,92.0,14,53
1087,1088,35,management,single,tertiary,0,80,0,0,cellular,4,sep,2,94,1,other,2021-12-04 12:25:58,2021-12-04 12:33:12,1,434.0,12,25
1625,1626,57,technician,divorced,tertiary,0,96,0,0,cellular,21,aug,4,-1,0,,2021-12-04 12:07:22,2021-12-04 12:22:35,1,913.0000000000001,12,7
329,330,29,management,single,secondary,0,-105,1,0,,27,may,3,-1,0,,2021-12-04 17:46:18,2021-12-04 17:46:23,0,5.0,17,46
2333,2334,31,management,single,tertiary,0,3384,0,0,cellular,16,sep,1,104,2,success,2021-12-04 14:24:34,2021-12-04 14:27:07,1,153.0,14,24
2508,2509,46,management,married,tertiary,0,0,0,0,cellular,27,aug,2,-1,0,,2021-12-04 11:38:55,2021-12-04 11:40:56,0,121.00000000000001,11,38
504,505,32,technician,single,secondary,0,6402,1,0,cellular,6,may,1,167,1,success,2021-12-04 16:47:25,2021-12-04 16:50:03,0,158.0,16,47
1660,1661,37,entrepreneur,single,secondary,0,-22,1,0,cellular,15,may,1,-1,0,,2021-12-04 17:21:21,2021-12-04 17:26:38,1,317.0,17,21
3624,3625,31,admin.,married,secondary,0,352,0,0,telephone,28,oct,1,-1,0,,2021-12-04 09:47:19,2021-12-04 09:48:19,0,60.00000000000001,9,47
400,401,38,blue-collar,married,secondary,0,814,1,0,cellular,4,feb,1,-1,0,,2021-12-04 14:11:47,2021-12-04 14:16:53,0,306.0,14,11
575,576,37,management,married,,0,247,0,0,cellular,9,jul,1,-1,0,,2021-12-04 11:12:15,2021-12-04 11:18:21,0,366.0,11,12
1389,1390,52,blue-collar,married,primary,0,9444,0,0,cellular,7,jul,3,-1,0,,2021-12-04 10:53:19,2021-12-04 10:57:50,0,271.0,10,53
2267,2268,46,self-employed,married,secondary,0,0,1,1,,14,may,5,-1,0,,2021-12-04 14:45:25,2021-12-04 14:48:11,0,166.0,14,45
2873,2874,32,technician,single,tertiary,0,948,1,0,cellular,6,apr,2,-1,0,,2021-12-04 09:29:42,2021-12-04 09:33:25,0,223.0,9,29
567,568,57,admin.,married,secondary,0,169,0,0,cellular,3,feb,1,-1,0,,2021-12-04 14:52:10,2021-12-04 14:58:19,1,369.0,14,52
3206,3207,28,blue-collar,single,secondary,0,1,0,0,,28,may,1,-1,0,,2021-12-04 16:17:26,2021-12-04 16:20:27,0,181.0,16,17
3945,3946,30,entrepreneur,single,tertiary,0,-63,1,0,,3,jun,1,-1,0,,2021-12-04 15:12:17,2021-12-04 15:13:51,0,94.0,15,12
1354,1355,70,retired,married,primary,0,2795,0,0,cellular,8,jan,2,-1,0,,2021-12-04 10:48:22,2021-12-04 10:53:23,1,301.0,10,48
1127,1128,25,student,single,secondary,0,1747,1,0,cellular,24,jul,1,-1,0,,2021-12-04 12:21:05,2021-12-04 12:36:08,1,903.0,12,21
1473,1474,33,entrepreneur,single,secondary,0,278,0,0,cellular,1,feb,5,-1,0,,2021-12-04 15:54:56,2021-12-04 16:04:19,1,563.0,15,54
518,519,59,blue-collar,married,primary,0,320,1,0,,15,may,1,-1,0,,2021-12-04 15:42:21,2021-12-04 15:53:56,1,695.0,15,42
2964,2965,53,admin.,married,secondary,0,10541,0,0,cellular,9,nov,1,-1,0,,2021-12-04 11:54:36,2021-12-04 11:57:34,1,178.0,11,54
3729,3730,37,blue-collar,single,secondary,0,238,1,0,,7,may,2,-1,0,,2021-12-04 14:08:04,2021-12-04 14:11:24,0,200.0,14,8
3619,3620,46,admin.,divorced,secondary,0,2196,0,0,cellular,28,jul,5,-1,0,,2021-12-04 09:43:15,2021-12-04 09:52:48,1,573.0,9,43
1384,1385,31,blue-collar,married,secondary,0,152,1,1,cellular,8,jul,1,-1,0,,2021-12-04 16:28:02,2021-12-04 16:41:53,1,831.0,16,28
630,631,34,technician,single,secondary,0,161,0,0,cellular,21,aug,1,-1,0,,2021-12-04 12:54:15,2021-12-04 13:01:01,0,406.0,12,54
633,634,57,housemaid,married,primary,0,0,0,0,,17,jun,2,-1,0,,2021-12-04 14:04:22,2021-12-04 14:07:29,0,187.0,14,4
1683,1684,35,technician,married,secondary,0,18,1,1,cellular,14,may,2,-1,0,,2021-12-04 12:37:52,2021-12-04 12:38:54,0,62.00000000000001,12,37
479,480,51,blue-collar,married,primary,0,0,0,0,cellular,21,aug,4,-1,0,,2021-12-04 09:13:48,2021-12-04 09:17:42,0,234.00000000000003,9,13
1601,1602,32,admin.,married,secondary,0,0,1,0,cellular,30,apr,2,-1,0,,2021-12-04 13:10:31,2021-12-04 13:13:28,1,177.0,13,10
1911,1912,30,admin.,married,secondary,0,873,1,0,,29,may,3,-1,0,,2021-12-04 17:17:47,2021-12-04 17:30:59,1,792.0,17,17
353,354,57,retired,married,tertiary,0,0,0,0,cellular,12,aug,4,-1,0,,2021-12-04 15:26:29,2021-12-04 15:28:25,0,116.00000000000001,15,26
3400,3401,31,management,single,tertiary,0,924,0,0,cellular,5,jun,2,98,1,success,2021-12-04 17:47:42,2021-12-04 17:51:09,1,207.0,17,47
2391,2392,45,blue-collar,married,,0,458,1,1,cellular,11,jul,2,-1,0,,2021-12-04 09:59:05,2021-12-04 10:01:30,0,145.0,9,59
366,367,32,blue-collar,single,secondary,0,322,1,0,cellular,13,may,3,-1,0,,2021-12-04 09:47:12,2021-12-04 09:51:05,0,233.00000000000003,9,47
2178,2179,48,blue-collar,married,secondary,0,503,1,0,cellular,14,may,1,-1,0,,2021-12-04 17:39:52,2021-12-04 17:41:37,0,105.0,17,39
2860,2861,38,unemployed,married,tertiary,0,2812,1,0,cellular,30,apr,1,-1,0,,2021-12-04 16:41:59,2021-12-04 16:55:49,1,830.0,16,41
3129,3130,43,unemployed,married,tertiary,0,0,0,0,cellular,16,jul,1,281,1,failure,2021-12-04 12:07:49,2021-12-04 12:20:14,1,745.0,12,7
190,191,51,blue-collar,divorced,secondary,0,113,0,0,cellular,15,may,3,-1,0,,2021-12-04 09:38:11,2021-12-04 09:39:22,0,71.0,9,38
766,767,52,admin.,married,secondary,0,5517,1,1,cellular,29,jul,2,-1,0,,2021-12-04 14:07:58,2021-12-04 14:10:41,0,163.0,14,7
2549,2550,34,admin.,divorced,secondary,0,479,1,0,cellular,12,may,1,350,5,failure,2021-12-04 17:42:20,2021-12-04 17:50:55,1,515.0,17,42
531,532,38,entrepreneur,divorced,secondary,0,1190,1,0,cellular,7,dec,4,186,5,success,2021-12-04 14:42:25,2021-12-04 14:48:12,0,347.0,14,42
2901,2902,40,admin.,married,primary,0,72,1,1,cellular,21,nov,1,-1,0,,2021-12-04 09:33:55,2021-12-04 09:48:04,1,849.0,9,33
700,701,44,blue-collar,single,,0,2167,1,0,,7,may,1,-1,0,,2021-12-04 09:09:23,2021-12-04 09:30:36,0,1273.0,9,9
3602,3603,48,unemployed,married,secondary,0,926,0,0,cellular,12,aug,2,178,10,success,2021-12-04 12:33:41,2021-12-04 12:42:05,1,504.00000000000006,12,33
541,542,29,management,married,tertiary,0,10576,0,0,,15,may,2,-1,0,,2021-12-04 11:43:04,2021-12-04 12:03:28,1,1224.0,11,43
1803,1804,60,retired,married,tertiary,0,3461,0,0,cellular,26,may,2,112,2,failure,2021-12-04 10:05:02,2021-12-04 10:06:36,0,94.0,10,5
1810,1811,73,retired,married,,0,739,0,0,cellular,11,sep,1,-1,0,,2021-12-04 13:35:30,2021-12-04 13:39:00,1,210.0,13,35
2411,2412,51,retired,married,primary,0,67,0,0,,18,jun,1,-1,0,,2021-12-04 15:46:22,2021-12-04 16:00:17,1,835.0,15,46
249,250,33,admin.,divorced,tertiary,0,891,0,0,cellular,8,may,2,-1,0,,2021-12-04 14:35:50,2021-12-04 14:42:28,1,398.0,14,35
2786,2787,42,management,married,tertiary,0,372,1,0,cellular,4,aug,3,1,2,success,2021-12-04 09:13:02,2021-12-04 09:15:35,1,153.0,9,13
3942,3943,33,technician,married,secondary,0,133,0,0,cellular,12,nov,2,192,1,success,2021-12-04 11:22:41,2021-12-04 11:33:08,1,627.0,11,22
131,132,44,management,married,,0,2724,0,0,cellular,28,dec,1,-1,0,,2021-12-04 14:48:36,2021-12-04 15:03:29,1,893.0,14,48
3974,3975,39,management,single,tertiary,0,763,0,0,cellular,22,feb,1,189,1,failure,2021-12-04 14:05:05,2021-12-04 14:14:08,1,543.0,14,5
2555,2556,30,management,single,tertiary,0,3289,0,0,cellular,2,jun,1,-1,0,,2021-12-04 11:47:46,2021-12-04 11:49:37,0,111.0,11,47
3969,3970,38,management,divorced,primary,0,2064,1,0,cellular,11,may,1,-1,0,,2021-12-04 09:51:17,2021-12-04 09:56:13,0,296.0,9,51
2342,2343,48,admin.,married,,0,0,1,0,cellular,8,may,1,168,2,failure,2021-12-04 12:46:37,2021-12-04 12:48:02,0,85.0,12,46
1426,1427,41,entrepreneur,married,primary,0,0,0,0,cellular,3,jul,2,389,1,other,2021-12-04 12:33:32,2021-12-04 12:40:50,1,438.0,12,33
2652,2653,46,blue-collar,married,,0,9328,1,0,cellular,5,may,3,-1,0,,2021-12-04 09:00:38,2021-12-04 09:12:43,1,725.0,9,0
109,110,48,blue-collar,single,secondary,0,339,0,1,telephone,14,jul,4,-1,0,,2021-12-04 09:09:36,2021-12-04 09:11:39,0,123.00000000000001,9,9
680,681,34,services,divorced,secondary,0,797,1,0,cellular,20,nov,1,126,1,failure,2021-12-04 12:18:39,2021-12-04 12:20:07,0,88.0,12,18
2353,2354,51,retired,married,secondary,0,1295,0,1,,20,jun,2,-1,0,,2021-12-04 17:20:41,2021-12-04 17:25:29,0,288.0,17,20
721,722,38,entrepreneur,married,tertiary,0,946,1,0,cellular,11,may,1,-1,0,,2021-12-04 17:04:45,2021-12-04 17:05:54,0,69.0,17,4
2261,2262,41,unemployed,single,tertiary,0,79,0,0,telephone,9,nov,1,390,2,success,2021-12-04 12:27:37,2021-12-04 12:34:11,1,394.0,12,27
238,239,40,technician,married,secondary,0,84,1,0,cellular,8,aug,3,-1,0,,2021-12-04 17:26:28,2021-12-04 17:28:27,0,119.00000000000001,17,26
512,513,43,blue-collar,married,primary,0,223,1,0,cellular,4,feb,2,204,2,other,2021-12-04 16:17:19,2021-12-04 16:19:11,0,112.0,16,17
1357,1358,32,technician,married,tertiary,0,2976,1,0,cellular,5,feb,1,175,5,failure,2021-12-04 13:08:34,2021-12-04 13:21:37,1,783.0,13,8
3431,3432,35,management,married,tertiary,0,1133,1,0,cellular,3,nov,1,-1,0,,2021-12-04 14:55:56,2021-12-04 14:57:38,1,102.0,14,55
1288,1289,30,blue-collar,married,secondary,0,309,1,0,,7,may,2,-1,0,,2021-12-04 13:10:45,2021-12-04 13:36:59,1,1574.0,13,10
1144,1145,51,blue-collar,married,secondary,0,7180,1,0,,14,may,1,-1,0,,2021-12-04 15:15:29,2021-12-04 15:30:56,1,927.0000000000001,15,15
